Ref,Val,Package,PosX,PosY,Rot,Side
D23,1N4148W,D_SOD-123,106.400000,-82.125000,-90.000000,bottom
D24,1N4148W,D_SOD-123,124.400000,-84.250000,-90.000000,bottom
D25,1N4148W,D_SOD-123,142.400000,-86.375000,-90.000000,bottom
D30,1N4148W,D_SOD-123,52.400000,-104.000000,-90.000000,bottom
D31,1N4148W,D_SOD-123,70.400000,-104.000000,-90.000000,bottom
D32,1N4148W,D_SOD-123,88.400000,-101.250000,-90.000000,bottom
D33,1N4148W,D_SOD-123,106.400000,-99.125000,-90.000000,bottom
D34,1N4148W,D_SOD-123,124.400000,-101.250000,-90.000000,bottom
D35,1N4148W,D_SOD-123,142.400000,-103.375000,-90.000000,bottom
D40,1N4148W,D_SOD-123,52.400000,-121.000000,-90.000000,bottom
D41,1N4148W,D_SOD-123,70.400000,-121.000000,-90.000000,bottom
D42,1N4148W,D_SOD-123,88.400000,-118.250000,-90.000000,bottom
D43,1N4148W,D_SOD-123,106.400000,-116.125000,-90.000000,bottom
D44,1N4148W,D_SOD-123,124.400000,-118.250000,-90.000000,bottom
D45,1N4148W,D_SOD-123,142.400000,-120.375000,-90.000000,bottom
D50,1N4148W,D_SOD-123,52.400000,-138.000000,-90.000000,bottom
D51,1N4148W,D_SOD-123,70.400000,-138.000000,-90.000000,bottom
D52,1N4148W,D_SOD-123,88.400000,-135.250000,-90.000000,bottom
D53,1N4148W,D_SOD-123,106.400000,-133.125000,-90.000000,bottom
D54,1N4148W,D_SOD-123,124.400000,-135.250000,-90.000000,bottom
D55,1N4148W,D_SOD-123,142.400000,-137.375000,-90.000000,bottom
D60,1N4148W,D_SOD-123,79.400000,-155.500000,-90.000000,bottom
D61,1N4148W,D_SOD-123,97.400000,-154.375000,-90.000000,bottom
D62,1N4148W,D_SOD-123,115.400000,-154.375000,-90.000000,bottom
D63,1N4148W,D_SOD-123,136.005495,-154.804161,-98.060000,bottom
D64,1N4148W,D_SOD-123,160.623057,-164.616411,-19.630000,bottom
D65,1N4148W,D_SOD-123,160.500001,-128.750000,-90.000000,bottom
D201,B5819W SL,D_SOD-123,190.051553,-70.435785,-90.000000,bottom
D202,SMF5.0A,D_SOD-123FL,204.600000,-69.900000,0.000000,bottom
D210,1N4148W,D_SOD-123,299.400000,-70.000000,-90.000000,bottom
D211,1N4148W,D_SOD-123,281.400000,-70.000000,-90.000000,bottom
D212,1N4148W,D_SOD-123,263.400000,-67.250000,-90.000000,bottom
D213,1N4148W,D_SOD-123,245.400000,-65.125000,-90.000000,bottom
D214,1N4148W,D_SOD-123,227.400000,-67.250000,-90.000000,bottom
D215,1N4148W,D_SOD-123,209.400000,-69.375000,-90.000000,bottom
D216,1N4148W,D_SOD-123,191.500001,-107.875000,-90.000000,bottom
D220,1N4148W,D_SOD-123,299.400000,-87.000000,-90.000000,bottom
D221,1N4148W,D_SOD-123,281.400000,-87.000000,-90.000000,bottom
D222,1N4148W,D_SOD-123,263.400000,-84.250000,-90.000000,bottom
D223,1N4148W,D_SOD-123,245.400000,-82.125000,-90.000000,bottom
D224,1N4148W,D_SOD-123,227.400000,-84.250000,-90.000000,bottom
D225,1N4148W,D_SOD-123,209.400000,-86.375000,-90.000000,bottom
D230,1N4148W,D_SOD-123,299.400000,-104.000000,-90.000000,bottom
D231,1N4148W,D_SOD-123,281.400000,-104.000000,-90.000000,bottom
D232,1N4148W,D_SOD-123,263.400000,-101.250000,-90.000000,bottom
D233,1N4148W,D_SOD-123,245.400000,-99.125000,-90.000000,bottom
D234,1N4148W,D_SOD-123,227.400000,-101.250000,-90.000000,bottom
D235,1N4148W,D_SOD-123,209.400000,-103.375000,-90.000000,bottom
D240,1N4148W,D_SOD-123,299.400000,-121.000000,-90.000000,bottom
D241,1N4148W,D_SOD-123,281.400000,-121.000000,-90.000000,bottom
D242,1N4148W,D_SOD-123,263.400000,-118.250000,-90.000000,bottom
D243,1N4148W,D_SOD-123,245.400000,-116.125000,-90.000000,bottom
D244,1N4148W,D_SOD-123,227.400000,-118.250000,-90.000000,bottom
D245,1N4148W,D_SOD-123,209.400000,-120.375000,-90.000000,bottom
D250,1N4148W,D_SOD-123,299.400000,-138.000000,-90.000000,bottom
D251,1N4148W,D_SOD-123,281.400000,-138.000000,-90.000000,bottom
D252,1N4148W,D_SOD-123,263.400000,-135.250000,-90.000000,bottom
D253,1N4148W,D_SOD-123,245.400000,-133.125000,-90.000000,bottom
D254,1N4148W,D_SOD-123,227.400000,-135.250000,-90.000000,bottom
D255,1N4148W,D_SOD-123,209.400000,-137.375000,-90.000000,bottom
D260,1N4148W,D_SOD-123,272.400000,-155.500000,-90.000000,bottom
D261,1N4148W,D_SOD-123,254.400000,-154.375000,-90.000000,bottom
D262,1N4148W,D_SOD-123,236.400000,-154.375000,-90.000000,bottom
D263,1N4148W,D_SOD-123,215.944655,-156.935353,-81.940000,bottom
D264,1N4148W,D_SOD-123,201.270584,-150.299810,-160.370000,bottom
D265,1N4148W,D_SOD-123,191.500001,-128.750000,-90.000000,bottom
F1,1.1A,Fuse_1206_3216Metric,172.500000,-72.960000,0.000000,bottom
F2,1.1A,Fuse_1206_3216Metric,166.750000,-97.500000,-90.000000,bottom
F201,1.1A,Fuse_1206_3216Metric,194.563661,-71.461352,180.000000,bottom
F202,1.1A,Fuse_1206_3216Metric,200.250000,-97.500000,-90.000000,bottom
J1,"Connector, USB-TYPE-C-16P",USB_C_Receptacle_HongCheng_HC-TYPE-C-16P_MidMount,168.779481,-65.320000,0.000000,bottom
J2,"Connector, USB-TYPE-C-16P",USB_C_Receptacle_HongCheng_HC-TYPE-C-16P_MidMount,174.555000,-93.680000,-90.000000,bottom
J201,"Connector, USB-TYPE-C-16P",USB_C_Receptacle_HongCheng_HC-TYPE-C-16P_MidMount,198.220519,-65.320000,0.000000,bottom
J202,"Connector, USB-TYPE-C-16P",USB_C_Receptacle_HongCheng_HC-TYPE-C-16P_MidMount,192.445000,-93.680000,90.000000,bottom
LED10,SK6812MINI-E,LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,60.000000,-67.300000,180.000000,bottom
LED11,SK6812MINI-E,LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,78.000000,-67.300000,180.000000,bottom
LED12,SK6812MINI-E,LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,96.000000,-64.550000,180.000000,bottom
LED13,SK6812MINI-E,LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,114.000000,-62.425000,180.000000,bottom
LED14,SK6812MINI-E,LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,132.000000,-64.550000,180.000000,bottom
LED15,SK6812MINI-E,LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,150.000000,-66.675000,180.000000,bottom
LED16,SK6812MINI-E,LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,168.000000,-108.175000,180.000000,bottom
LED20,SK6812MINI-E,LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,60.000000,-84.300000,180.000000,bottom
LED21,SK6812MINI-E,LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,78.000000,-84.300000,180.000000,bottom
LED22,SK6812MINI-E,LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,96.000000,-81.550000,180.000000,bottom
LED23,SK6812MINI-E,LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,114.000000,-79.425000,180.000000,bottom
LED24,SK6812MINI-E,LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,132.000000,-81.550000,180.000000,bottom
LED25,SK6812MINI-E,LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,150.000000,-83.675000,180.000000,bottom
LED30,SK6812MINI-E,LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,60.000000,-101.300000,180.000000,bottom
LED31,SK6812MINI-E,LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,78.000000,-101.300000,180.000000,bottom
LED32,SK6812MINI-E,LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,96.000000,-98.550000,180.000000,bottom
LED33,SK6812MINI-E,LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,114.000000,-96.425000,180.000000,bottom
LED34,SK6812MINI-E,LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,132.000000,-98.550000,180.000000,bottom
LED35,SK6812MINI-E,LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,150.000000,-100.675000,180.000000,bottom
LED40,SK6812MINI-E,LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,60.000000,-118.300000,180.000000,bottom
LED41,SK6812MINI-E,LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,78.000000,-118.300000,180.000000,bottom
LED42,SK6812MINI-E,LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,96.000000,-115.550000,180.000000,bottom
LED43,SK6812MINI-E,LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,114.000000,-113.425000,180.000000,bottom
LED44,SK6812MINI-E,LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,132.000000,-115.550000,180.000000,bottom
LED45,SK6812MINI-E,LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,150.000000,-117.675000,180.000000,bottom
